,date,label,latitude,longitude,xnorm,ynorm,bird,count
81,03-04-2024,"DJI_0750(M:0,F:0,O:0)",4.843871128765279,48.29529147585626,2,3,Males,0
82,03-04-2024,"DJI_0751(M:0,F:0,O:0)",4.841652085970388,48.92118517757331,3,3,Males,0
83,03-04-2024,"DJI_0752(M:0,F:0,O:0)",4.835796859686507,49.23362135717671,3,3,Males,0
84,03-04-2024,"DJI_0753(M:0,F:0,O:0)",4.827041300853942,49.84580834673915,3,3,Males,0
85,03-04-2024,"DJI_0754(M:0,F:0,O:0)",4.825990699148807,50.78124546180143,4,3,Males,0
86,03-04-2024,"DJI_0755(M:0,F:0,O:0)",4.818943304839127,51.39590675408642,4,3,Males,0
87,03-04-2024,"DJI_0756(M:0,F:0,O:0)",3.87962750933789,50.53316103469868,4,2,Males,0
88,03-04-2024,"DJI_0757(M:0,F:0,O:0)",3.878403948274009,49.90502045099283,3,2,Males,0
89,03-04-2024,"DJI_0758(M:0,F:0,O:0)",3.871032941808004,49.22392791817245,3,2,Males,0
90,03-04-2024,"DJI_0759(M:0,F:0,O:0)",3.877758902746873,48.59969183186419,3,2,Males,0
91,03-04-2024,"DJI_0760(M:0,F:0,O:0)",3.883740965755504,47.98191845519426,2,2,Males,0
92,03-04-2024,"DJI_0761(M:0,F:0,O:0)",3.8873993228482497,47.36330818497288,2,2,Males,0
93,03-04-2024,"DJI_0762(M:0,F:0,O:0)",3.8877222093659007,46.73904684086746,2,2,Males,0
94,03-04-2024,"DJI_0763(M:0,F:0,O:0)",3.8933838560195646,46.11540002113921,1,2,Males,0
95,03-04-2024,"DJI_0764(M:0,F:0,O:0)",3.898212151917321,45.49713795084966,1,2,Males,0
96,03-04-2024,"DJI_0765(M:0,F:0,O:0)",3.901883137908644,44.87532614341765,1,2,Males,0
97,03-04-2024,"DJI_0766(M:0,F:0,O:0)",3.9035386971885018,44.25370941333112,0,2,Males,0
98,03-04-2024,"DJI_0767(M:0,F:0,O:0)",3.901117190152931,43.79860597860044,0,2,Males,0
99,03-04-2024,"DJI_0768(M:0,F:0,O:0)",2.936610421479923,43.14172444956803,0,1,Males,0
100,03-04-2024,"DJI_0769(M:0,F:0,O:0)",2.9240016632214783,43.61424457529304,0,1,Males,0
101,03-04-2024,"DJI_0770(M:0,F:0,O:0)",2.920588440840259,44.249894502464414,0,1,Males,0
102,03-04-2024,"DJI_0771(M:0,F:0,O:0)",2.922324478076828,44.894607272754186,1,1,Males,0
103,03-04-2024,"DJI_0772(M:0,F:0,O:0)",2.923544496345144,45.51968681293721,1,1,Males,0
104,03-04-2024,"DJI_0773(M:0,F:0,O:0)",2.919016410564634,46.14894478582207,1,1,Males,0
105,03-04-2024,"DJI_0774(M:0,F:0,O:0)",2.908659820492854,46.75525328076675,2,1,Males,0
106,03-04-2024,"DJI_0775(M:0,F:0,O:0)",2.9065307222716648,47.37418193331144,2,1,Males,0
107,03-04-2024,"DJI_0776(M:0,F:0,O:0)",2.899130076470719,47.99129377928567,2,1,Males,0
108,03-04-2024,"DJI_0777(M:0,F:0,O:0)",2.8993999993286224,48.6196804811991,3,1,Males,0
109,03-04-2024,"DJI_0778(M:0,F:0,O:0)",2.9021295619788035,49.24215785387038,3,1,Males,0
110,03-04-2024,"DJI_0779(M:0,F:0,O:0)",2.8966902844994458,49.86881972781876,3,1,Males,0
111,03-04-2024,"DJI_0780(M:0,F:0,O:0)",2.8943335309060707,50.34750235306487,3,1,Males,0
112,03-04-2024,"DJI_0781(M:0,F:0,O:0)",1.944198581398691,49.70551413843425,3,0,Males,0
113,03-04-2024,"DJI_0782(M:0,F:0,O:0)",1.952244228532269,49.17431669156331,3,0,Males,0
114,03-04-2024,"DJI_0783(M:0,F:0,O:0)",1.952554452631567,48.53346951495955,3,0,Males,0
115,03-04-2024,"DJI_0784(M:0,F:0,O:0)",1.948860098120932,47.89031076959046,2,0,Males,0
116,03-04-2024,"DJI_0785(M:0,F:0,O:0)",1.9488186130126124,47.26735985797785,2,0,Males,0
117,03-04-2024,"DJI_0786(M:0,F:0,O:0)",1.9547385150244128,46.64950814861696,2,0,Males,0
118,03-04-2024,"DJI_0787(M:0,F:0,O:0)",1.956967169190136,46.02909622650343,1,0,Males,0
119,03-04-2024,"DJI_0788(M:0,F:0,O:0)",1.9599730816902152,45.40564195834092,1,0,Males,0
120,03-04-2024,"DJI_0789(M:0,F:0,O:0)",1.9629501935975784,44.78552972107683,1,0,Males,0
121,03-04-2024,"DJI_0790(M:0,F:0,O:0)",1.9665514412529284,44.16556050328022,0,0,Males,0
122,03-04-2024,"DJI_0791(M:0,F:0,O:0)",1.970676251695892,43.543516223555045,0,0,Males,0
123,03-04-2024,"DJI_0792(M:0,F:0,O:0)",1.9775962729643872,42.91759421299332,0,0,Males,0
124,03-04-2024,"DJI_0793(M:0,F:0,O:0)",1.9784754343754791,42.50863788638225,0,0,Males,0
125,06-05-2024,"DJI_0133(M:0,F:0,O:0)",5.768644054873853,52.28653943672471,4,4,Males,0
126,06-05-2024,"DJI_0134(M:0,F:0,O:0)",5.788712915128947,51.688608996917495,4,4,Males,0
127,06-05-2024,"DJI_0135(M:0,F:0,O:0)",5.79550654685233,51.035340249334986,4,4,Males,0
128,06-05-2024,"DJI_0136(M:0,F:0,O:0)",5.796183176609283,50.40058534216831,4,4,Males,0
129,06-05-2024,"DJI_0137(M:0,F:0,O:0)",5.802510913770032,49.7822823341355,3,4,Males,0
130,06-05-2024,"DJI_0138(M:0,F:0,O:0)",5.815214958790978,49.17474931672813,3,4,Males,0
131,06-05-2024,"DJI_0139(M:0,F:0,O:0)",5.815977532097815,48.55779869594721,3,4,Males,0
132,06-05-2024,"DJI_0140(M:0,F:0,O:0)",5.8209624933775,47.93941230366401,2,4,Males,0
133,06-05-2024,"DJI_0141(M:0,F:0,O:0)",5.821968133844404,47.31231126819425,2,4,Males,0
134,06-05-2024,"DJI_0142(M:0,F:0,O:0)",5.828681957632732,46.68323370972459,2,4,Males,0
135,06-05-2024,"DJI_0143(M:0,F:0,O:0)",5.828608129136139,46.06056378548756,1,4,Males,0
136,06-05-2024,"DJI_0144(M:0,F:0,O:0)",5.840814360914649,45.44065974621554,1,4,Males,0
137,06-05-2024,"DJI_0145(M:0,F:0,O:0)",5.831969249070983,45.09763337114144,1,4,Males,0
138,06-05-2024,"DJI_0146(M:0,F:0,O:0)",4.870072225248872,44.440340464164535,0,3,Males,0
139,06-05-2024,"DJI_0147(M:0,F:0,O:0)",4.837859339154392,45.088120905339984,1,3,Males,0
140,06-05-2024,"DJI_0148(M:0,F:0,O:0)",4.844641045520621,45.7483617541662,1,3,Males,0
141,06-05-2024,"DJI_0149(M:0,F:0,O:0)",4.845981351239008,46.37857992558034,1,3,Males,0
142,06-05-2024,"DJI_0150(M:0,F:0,O:0)",4.834788392883578,46.99895648677786,2,3,Males,0
143,06-05-2024,"DJI_0151(M:0,F:0,O:0)",4.830795973521447,47.61119350018658,2,3,Males,0
144,06-05-2024,"DJI_0152(M:0,F:0,O:0)",4.830893551051322,48.23180200840946,2,3,Males,0
145,06-05-2024,"DJI_0153(M:0,F:0,O:0)",4.824538522061733,48.84910538893361,3,3,Males,0
146,06-05-2024,"DJI_0154(M:0,F:0,O:0)",4.824026626773886,49.47377204240825,3,3,Males,0
147,06-05-2024,"DJI_0155(M:0,F:0,O:0)",4.8169655865497845,50.0879335209389,3,3,Males,0
148,06-05-2024,"DJI_0156(M:0,F:0,O:0)",4.808375812721941,50.71352097748322,4,3,Males,0
149,06-05-2024,"DJI_0157(M:0,F:0,O:0)",4.805306230461163,51.34123857136183,4,3,Males,0
150,06-05-2024,"DJI_0158(M:0,F:0,O:0)",4.814056279132146,51.65293587107463,4,3,Males,0
151,06-05-2024,"DJI_0159(M:0,F:0,O:0)",3.883345311203811,50.996172036673016,4,2,Males,0
152,06-05-2024,"DJI_0160(M:0,F:0,O:0)",3.885599133655983,50.614848486017735,4,2,Males,0
153,06-05-2024,"DJI_0161(M:0,F:0,O:0)",3.867740129907333,49.63901240040442,3,2,Males,0
154,06-05-2024,"DJI_0162(M:0,F:0,O:0)",3.8714495278622,49.01934034167754,3,2,Males,0
155,06-05-2024,"DJI_0163(M:0,F:0,O:0)",3.873213762709387,48.40976513099767,3,2,Males,0
156,06-05-2024,"DJI_0164(M:0,F:0,O:0)",3.877148055618285,47.7924678190488,2,2,Males,0
157,06-05-2024,"DJI_0165(M:0,F:0,O:0)",3.893438740981342,47.190258898847176,2,2,Males,0
158,06-05-2024,"DJI_0166(M:0,F:0,O:0)",3.8987127587237858,46.56194091825388,2,2,Males,0
159,06-05-2024,"DJI_0167(M:0,F:0,O:0)",3.90410506340438,45.951146236670745,1,2,Males,0
160,06-05-2024,"DJI_0168(M:0,F:0,O:0)",3.912746895110186,45.32819834258588,1,2,Males,0
161,06-05-2024,"DJI_0169(M:0,F:0,O:0)",3.919229297140955,44.72215568033849,1,2,Males,0
162,06-05-2024,"DJI_0170(M:0,F:0,O:0)",3.913310334430712,44.104507150930026,0,2,Males,0
163,06-05-2024,"DJI_0171(M:0,F:0,O:0)",3.907374227578895,43.807938688959695,0,2,Males,0
164,06-05-2024,"DJI_0172(M:0,F:0,O:0)",2.941616136362388,43.13966706809746,0,1,Males,0
165,06-05-2024,"DJI_0173(M:0,F:0,O:0)",2.925174518994901,43.54654734928388,0,1,Males,0
166,06-05-2024,"DJI_0174(M:0,F:0,O:0)",2.9188503691981147,44.4925523255548,1,1,Males,0
167,06-05-2024,"DJI_0175(M:0,F:0,O:0)",2.910777106086549,45.12973000283385,1,1,Males,0
168,06-05-2024,"DJI_0176(M:0,F:0,O:0)",2.903592760884635,45.74743616694752,1,1,Males,0
169,06-05-2024,"DJI_0177(M:0,F:0,O:0)",2.8998045049709944,46.355426026334285,1,1,Males,0
170,06-05-2024,"DJI_0178(M:0,F:0,O:1)",2.8987619613044195,46.97604565469186,2,1,Males,0
171,06-05-2024,"DJI_0179(M:0,F:0,O:0)",2.899211773309723,47.59050225826054,2,1,Males,0
172,06-05-2024,"DJI_0180(M:0,F:0,O:0)",2.885028526783291,48.21274112358316,2,1,Males,0
173,06-05-2024,"DJI_0181(M:0,F:0,O:0)",2.877910902389601,48.83728801487555,3,1,Males,0
174,06-05-2024,"DJI_0182(M:0,F:0,O:0)",2.884408011545144,49.45486073737276,3,1,Males,0
175,06-05-2024,"DJI_0183(M:0,F:0,O:0)",2.8818801642780194,50.067978107855936,3,1,Males,0
176,06-05-2024,"DJI_0184(M:0,F:0,O:0)",2.8876307716354184,50.34822555300936,4,1,Males,0
177,06-05-2024,"DJI_0185(M:0,F:0,O:0)",1.9465035563209483,49.687344463406674,3,0,Males,0
178,06-05-2024,"DJI_0186(M:0,F:0,O:0)",1.959149217779064,49.221305744793845,3,0,Males,0
179,06-05-2024,"DJI_0187(M:0,F:0,O:0)",1.959086509417176,48.59977594175327,3,0,Males,0
180,06-05-2024,"DJI_0188(M:0,F:0,O:0)",1.951614997030348,47.95604006695471,2,0,Males,0
181,06-05-2024,"DJI_0189(M:0,F:0,O:0)",1.948311322478464,47.3286565353455,2,0,Males,0
182,06-05-2024,"DJI_0190(M:0,F:0,O:0)",1.9525073800212736,46.700428007577855,2,0,Males,0
183,06-05-2024,"DJI_0191(M:0,F:0,O:0)",1.9686070225824568,46.09122169481559,1,0,Males,0
184,06-05-2024,"DJI_0192(M:0,F:0,O:0)",1.9700033094883305,45.46010850339674,1,0,Males,0
185,06-05-2024,"DJI_0193(M:0,F:0,O:0)",1.963104925507146,44.83736480628014,1,0,Males,0
186,06-05-2024,"DJI_0194(M:0,F:0,O:0)",1.9717265509752304,44.21953937173225,0,0,Males,0
187,06-05-2024,"DJI_0195(M:0,F:0,O:0)",1.9836042973116044,43.60372582110028,0,0,Males,0
188,06-05-2024,"DJI_0196(M:0,F:0,O:0)",1.988608447813164,42.97651561831515,0,0,Males,0
189,06-05-2024,"DJI_0197(M:0,F:0,O:0)",1.982343062093172,42.513994326976274,0,0,Males,0
190,07-03-24,"DJI_0118(M:0,F:0,O:0)",5.7888509386540505,52.31875995577536,4,4,Males,0
191,07-03-24,"DJI_0119(M:0,F:0,O:0)",5.775184817996301,51.82406866098015,4,4,Males,0
192,07-03-24,"DJI_0120(M:0,F:0,O:0)",5.786127623600549,51.20772042742585,4,4,Males,0
193,07-03-24,"DJI_0121(M:0,F:0,O:0)",5.799909070033532,50.5685662271469,4,4,Males,0
194,07-03-24,"DJI_0122(M:0,F:0,O:0)",5.80179355881101,49.94434227798919,3,4,Males,0
195,07-03-24,"DJI_0123(M:0,F:0,O:0)",5.8063555302634455,49.33024902903065,3,4,Males,0
196,07-03-24,"DJI_0124(M:0,F:0,O:0)",5.810489426809433,48.701942168572046,3,4,Males,0
197,07-03-24,"DJI_0125(M:0,F:0,O:0)",5.813114795989399,48.07993882659012,2,4,Males,0
198,07-03-24,"DJI_0126(M:0,F:0,O:0)",5.818148272351486,47.461130953243554,2,4,Males,0
199,07-03-24,"DJI_0128(M:0,F:0,O:0)",5.826253856754072,46.213965178576245,1,4,Males,0
200,07-03-24,"DJI_0129(M:0,F:0,O:0)",5.82843904739682,45.592694122641845,1,4,Males,0
201,07-03-24,"DJI_0130(M:0,F:0,O:0)",5.831350656630463,45.088166727417686,1,4,Males,0
202,07-03-24,"DJI_0131(M:0,F:0,O:0)",4.840401010983445,44.87929375216226,1,3,Males,0
203,07-03-24,"DJI_0132(M:0,F:0,O:0)",4.8424653771119,45.725832740273546,1,3,Males,0
204,07-03-24,"DJI_0133(M:0,F:0,O:0)",4.848134712338769,46.359253957662176,1,3,Males,0
205,07-03-24,"DJI_0134(M:0,F:0,O:0)",4.852198490034812,46.99982165565422,2,3,Males,0
206,07-03-24,"DJI_0135(M:0,F:0,O:0)",4.8478821450419325,47.62291155219075,2,3,Males,0
207,07-03-24,"DJI_0136(M:0,F:0,O:0)",4.839639084479309,48.8613778383498,3,3,Males,0
208,07-03-24,"DJI_0137(M:0,F:0,O:0)",4.831421259616583,49.48373394007494,3,3,Males,0
209,07-03-24,"DJI_0138(M:0,F:0,O:0)",4.831644176155958,50.10820046464468,3,3,Males,0
210,07-03-24,"DJI_0139(M:0,F:0,O:0)",4.820388039787858,50.72479734218629,4,3,Males,0
211,07-03-24,"DJI_0140(M:0,F:0,O:0)",4.8136635876128615,51.344691770087486,4,3,Males,0
212,07-03-24,"DJI_0141(M:0,F:0,O:0)",4.826303996018986,51.65598274341522,4,3,Males,0
213,07-03-24,"DJI_0142(M:0,F:0,O:0)",3.8883985576726254,51.0097791928831,4,2,Males,0
214,07-03-24,"DJI_0145(M:0,F:0,O:0)",3.87512677212494,49.10859322888368,3,2,Males,0
215,07-03-24,"DJI_0146(M:0,F:0,O:0)",3.877737478374645,48.48238872218249,3,2,Males,0
216,07-03-24,"DJI_0147(M:0,F:0,O:0)",3.882253952272425,47.8600336374732,2,2,Males,0
217,07-03-24,"DJI_0148(M:0,F:0,O:0)",3.879729570086575,47.23701046174489,2,2,Males,0
218,07-03-24,"DJI_0149(M:0,F:0,O:0)",3.883276234084242,46.61504198893096,2,2,Males,0
219,07-03-24,"DJI_0150(M:0,F:0,O:0)",3.8890520996127016,45.99411306435312,1,2,Males,0
220,07-03-24,"DJI_0151(M:0,F:0,O:0)",3.896878261020607,45.37206776761211,1,2,Males,0
221,07-03-24,"DJI_0152(M:0,F:0,O:0)",3.896447638237188,44.7487873535415,1,2,Males,0
222,07-03-24,"DJI_0153(M:0,F:0,O:0)",3.898610588610527,44.12523605521419,0,2,Males,0
223,07-03-24,"DJI_0154(M:0,F:0,O:0)",3.89962076641768,43.78996359952957,0,2,Males,0
224,07-03-24,"DJI_0155(M:0,F:0,O:0)",2.932721078760622,43.145832126918044,0,1,Males,0
225,07-03-24,"DJI_0156(M:0,F:0,O:0)",2.926180304589547,43.30344934765627,0,1,Males,0
226,07-03-24,"DJI_0157(M:1,F:0,O:0)",2.913613947895936,44.343259626831966,0,1,Males,1
227,07-03-24,"DJI_0158(M:0,F:0,O:0)",2.911966457703258,44.95491242522013,1,1,Males,0
228,07-03-24,"DJI_0159(M:0,F:0,O:0)",2.9074024522191344,45.56160297224879,1,1,Males,0
229,07-03-24,"DJI_0160(M:0,F:0,O:0)",2.907714296316364,46.175403096681215,1,1,Males,0
230,07-03-24,"DJI_0161(M:0,F:0,O:0)",2.904498699157589,47.422135253134606,2,1,Males,0
231,07-03-24,"DJI_0162(M:0,F:0,O:0)",2.903803863674817,48.04962795205918,2,1,Males,0
232,07-03-24,"DJI_0163(M:0,F:0,O:0)",2.897194122122645,48.66419726573879,3,1,Males,0
233,07-03-24,"DJI_0164(M:0,F:0,O:0)",2.895694736476674,49.29373268320367,3,1,Males,0
234,07-03-24,"DJI_0165(M:0,F:0,O:0)",2.9046506135363863,50.28569775933593,3,1,Males,0
235,07-03-24,"DJI_0166(M:0,F:0,O:0)",2.8952780494892494,50.33373144588175,3,1,Males,0
236,07-03-24,"DJI_0167(M:0,F:0,O:0)",1.9516487813951464,49.70138927237426,3,0,Males,0
237,07-03-24,"DJI_0168(M:0,F:0,O:0)",1.952333938467529,49.02884005442825,3,0,Males,0
238,07-03-24,"DJI_0169(M:0,F:0,O:0)",1.9462537170441865,48.384766082816725,2,0,Males,0
239,07-03-24,"DJI_0170(M:0,F:0,O:0)",1.9470324285253788,47.74788759863907,2,0,Males,0
240,07-03-24,"DJI_0171(M:0,F:0,O:0)",1.9531751914595248,47.1250079341263,2,0,Males,0
241,07-03-24,"DJI_0172(M:0,F:0,O:0)",1.957541068550654,46.50519790749135,2,0,Males,0
242,07-03-24,"DJI_0173(M:0,F:0,O:0)",1.9576537230445368,45.8827629813272,1,0,Males,0
243,07-03-24,"DJI_0174(M:0,F:0,O:0)",1.9629995131546387,45.26000511302837,1,0,Males,0
244,07-03-24,"DJI_0175(M:0,F:0,O:0)",1.9711900461885143,44.63664938379456,1,0,Males,0
245,07-03-24,"DJI_0176(M:0,F:0,O:0)",1.97513696799599,44.016150534635074,0,0,Males,0
246,07-03-24,"DJI_0177(M:1,F:0,O:0)",1.978928733185409,43.39143434906218,0,0,Males,1
247,07-03-24,"DJI_0178(M:0,F:0,O:0)",1.9801724227727355,42.77525088349676,0,0,Males,0
248,07-03-24,"DJI_0179(M:0,F:0,O:0)",1.97812369164808,42.50674678166445,0,0,Males,0
249,08-02-24,"DJI_0001(M:0,F:0,O:0)",5.752860347318318,52.34451179717175,4,4,Males,0
250,08-02-24,"DJI_0002(M:0,F:0,O:0)",5.756128650279457,51.7812327826543,4,4,Males,0
251,08-02-24,"DJI_0003(M:0,F:0,O:0)",5.779578936892555,51.16938487340089,4,4,Males,0
252,08-02-24,"DJI_0004(M:0,F:0,O:0)",5.810571402107488,50.553849750845,4,4,Males,0
