,date,label,latitude,longitude,xnorm,ynorm,bird
149,27/12/2023,"DJI_0455(M:11,F:3,O:0)",2.430640267,48.55647025,1,1,Males
255,27/12/2023,"DJI_0455(M:11,F:3,O:0)",2.430640267,48.55647025,1,1,Females
256,27/12/2023,"DJI_0455(M:11,F:3,O:0)",2.430640267,48.55647025,1,1,Females
257,27/12/2023,"DJI_0455(M:11,F:3,O:0)",2.430640267,48.55647025,1,1,Females
163,27/12/2023,"DJI_0471(M:1,F:1,O:1)",1.504590415,43.16273472,1,0,Males
263,27/12/2023,"DJI_0471(M:1,F:1,O:1)",1.504590415,43.16273472,1,0,Females
435,27/12/2023,"DJI_0471(M:1,F:1,O:1)",1.504590415,43.16273472,1,0,Others
264,27/12/2023,"DJI_0485(M:0,F:1,O:0)",5.313605287,45.41527879,5,4,Females
165,27/12/2023,"DJI_0503(M:8,F:1,O:0)",3.408963508,49.26213287,2,2,Males
166,27/12/2023,"DJI_0503(M:8,F:1,O:0)",3.408963508,49.26213287,2,2,Males
167,27/12/2023,"DJI_0503(M:8,F:1,O:0)",3.408963508,49.26213287,1,2,Males
168,27/12/2023,"DJI_0503(M:8,F:1,O:0)",3.408963508,49.26213287,1,2,Males
169,27/12/2023,"DJI_0503(M:8,F:1,O:0)",3.408963508,49.26213287,1,2,Males
170,27/12/2023,"DJI_0503(M:8,F:1,O:0)",3.408963508,49.26213287,1,2,Males
171,27/12/2023,"DJI_0503(M:8,F:1,O:0)",3.408963508,49.26213287,1,2,Males
172,27/12/2023,"DJI_0503(M:8,F:1,O:0)",3.408963508,49.26213287,1,2,Males
265,27/12/2023,"DJI_0503(M:8,F:1,O:0)",3.408963508,49.26213287,1,2,Females
173,27/12/2023,"DJI_0504(M:2,F:1,O:0)",3.405288376,48.62993768,1,2,Males
174,27/12/2023,"DJI_0504(M:2,F:1,O:0)",3.405288376,48.62993768,1,2,Males
193,30/01/2024,"DJI_0616(M:2,F:0,O:0)",4.850282899,45.67213939,6,3,Males
194,30/01/2024,"DJI_0616(M:2,F:0,O:0)",4.850282899,45.67213939,6,3,Males
195,30/01/2024,"DJI_0617(M:1,F:0,O:0)",4.836153745,46.30442052,6,3,Males
437,30/01/2024,"DJI_0621(M:0,F:0,O:1)",4.824205376,48.78707137,6,3,Others
196,30/01/2024,"DJI_0622(M:12,F:5,O:0)",4.822946532,49.40709668,6,3,Males
197,30/01/2024,"DJI_0622(M:12,F:5,O:0)",4.822946532,49.40709668,6,3,Males
198,30/01/2024,"DJI_0622(M:12,F:5,O:0)",4.822946532,49.40709668,6,3,Males
199,30/01/2024,"DJI_0622(M:12,F:5,O:0)",4.822946532,49.40709668,6,3,Males
200,30/01/2024,"DJI_0622(M:12,F:5,O:0)",4.822946532,49.40709668,6,3,Males
201,30/01/2024,"DJI_0622(M:12,F:5,O:0)",4.822946532,49.40709668,6,3,Males
202,30/01/2024,"DJI_0622(M:12,F:5,O:0)",4.822946532,49.40709668,6,3,Males
203,30/01/2024,"DJI_0622(M:12,F:5,O:0)",4.822946532,49.40709668,6,3,Males
204,30/01/2024,"DJI_0622(M:12,F:5,O:0)",4.822946532,49.40709668,6,3,Males
205,30/01/2024,"DJI_0622(M:12,F:5,O:0)",4.822946532,49.40709668,6,3,Males
206,30/01/2024,"DJI_0622(M:12,F:5,O:0)",4.822946532,49.40709668,6,3,Males
207,30/01/2024,"DJI_0622(M:12,F:5,O:0)",4.822946532,49.40709668,6,3,Males
270,30/01/2024,"DJI_0622(M:12,F:5,O:0)",4.822946532,49.40709668,6,3,Females
271,30/01/2024,"DJI_0622(M:12,F:5,O:0)",4.822946532,49.40709668,6,3,Females
272,30/01/2024,"DJI_0622(M:12,F:5,O:0)",4.822946532,49.40709668,6,3,Females
273,30/01/2024,"DJI_0622(M:12,F:5,O:0)",4.822946532,49.40709668,6,3,Females
274,30/01/2024,"DJI_0622(M:12,F:5,O:0)",4.822946532,49.40709668,6,3,Females
208,30/01/2024,"DJI_0628(M:2,F:0,O:0)",3.84788092,50.48865088,6,2,Males
209,30/01/2024,"DJI_0628(M:2,F:0,O:0)",3.84788092,50.48865088,4,2,Males
438,30/01/2024,"DJI_0631(M:0,F:0,O:1)",3.889346139,48.62764601,5,2,Others
210,30/01/2024,"DJI_0635(M:1,F:0,O:0)",3.893956984,46.1363922,6,2,Males
219,08/02/2024,"DJI_0035(M:4,F:2,O:0)",3.89630007,45.94227595,6,2,Females
220,08/02/2024,"DJI_0035(M:4,F:2,O:0)",3.89630007,45.94227595,6,2,Females
9,08/02/2024,"DJI_0042(M:1,F:0,O:0)",2.921266411,44.40663438,2,1,Males
27,08/12/2023,"DJI_0343(M:1,F:1,O:0)",3.96745758,46.83598683,6,3,Males
223,08/12/2023,"DJI_0343(M:1,F:1,O:0)",3.96745758,46.83598683,6,3,Females
28,08/12/2023,"DJI_0345(M:1,F:0,O:0)",3.971160986,48.34786892,6,3,Males
52,11/12/2023,"DJI_0378(M:8,F:1,O:0)",5.120322831,45.96964032,6,4,Males
226,11/12/2023,"DJI_0378(M:8,F:1,O:0)",5.120322831,45.96964032,6,4,Females
53,11/12/2023,"DJI_0405(M:1,F:1,O:0)",1.658897757,46.93418822,6,0,Males
227,11/12/2023,"DJI_0405(M:1,F:1,O:0)",1.658897757,46.93418822,1,0,Females
77,12/02/2024,"DJI_0047(M:1,F:1,O:0)",2.892599305,48.08698766,2,1,Males
235,12/02/2024,"DJI_0047(M:1,F:1,O:0)",2.892599305,48.08698766,2,1,Females
78,12/02/2024,"DJI_0058(M:1,F:0,O:0)",1.963761605,45.85072435,1,0,Males
93,19/03/2024,"DJI_0060(M:2,F:0,O:0)",1.971670145,44.63371519,1,0,Males
94,19/03/2024,"DJI_0060(M:2,F:0,O:0)",1.971670145,44.63371519,1,0,Males
240,20/02/2024,"DJI_0721(M:1,F:1,O:0)",1.946046447,48.643188,1,0,Females
109,20/02/2024,"DJI_0729(M:2,F:0,O:0)",1.970392537,43.42539997,1,0,Males
